time,demand
2.1258641E+01,5.3780678E+01
2.1308454E+01,5.3978240E+01
2.1353169E+01,5.4157459E+01
2.1402997E+01,5.4359239E+01
2.1452794E+01,5.4563028E+01
2.1500000E+01,5.1461290E+01
2.1550786E+01,5.1673290E+01
2.1600806E+01,5.1884163E+01
2.1649981E+01,5.2093437E+01
2.1700248E+01,5.2309338E+01
2.1749886E+01,5.2524459E+01
2.1800220E+01,5.2744516E+01
2.1849564E+01,5.2962080E+01
2.1898630E+01,5.3180185E+01
2.1949047E+01,5.3406090E+01
2.1998819E+01,5.3630858E+01
2.2047538E+01,6.5227042E+01
2.2097322E+01,6.5455189E+01
2.2147105E+01,6.5684955E+01
2.2196889E+01,6.5916307E+01
2.2246672E+01,6.6149204E+01
2.2296455E+01,6.6383606E+01
2.2346239E+01,6.6619474E+01
2.2396022E+01,6.6856768E+01
2.2445805E+01,6.7095448E+01
2.2495589E+01,6.7335472E+01
2.2542604E+01,6.7209772E+01
2.2592534E+01,6.7453011E+01
2.2642648E+01,6.7698385E+01
2.2691852E+01,6.7940468E+01
2.2741130E+01,6.8184031E+01
2.2790945E+01,6.8431349E+01
2.2840724E+01,6.8679540E+01
2.2890510E+01,6.8928789E+01
2.2940294E+01,6.9178993E+01
2.2990077E+01,6.9430132E+01
2.3040545E+01,7.1441288E+01
2.3089919E+01,7.1692089E+01
2.3139182E+01,7.1943110E+01
2.3189432E+01,7.2199924E+01
2.3239730E+01,7.2457718E+01
2.3289257E+01,7.2712231E+01
2.3338661E+01,7.2966729E+01
2.3387766E+01,7.3220260E+01
2.3438126E+01,7.3480820E+01
2.3487662E+01,7.3737617E+01
2.3537225E+01,7.0930809E+01
2.3586353E+01,7.1186341E+01
2.3636557E+01,7.1447835E+01
2.3686266E+01,7.1707072E+01
2.3736702E+01,7.1970387E+01
2.3785943E+01,7.2227698E+01
2.3836295E+01,7.2491005E+01
2.3886090E+01,7.2751547E+01
2.3935869E+01,7.3012110E+01
2.3985653E+01,7.3272756E+01
2.4000000E+01,7.1335820E+01
